order placement_time ready_time pickup_time dropoff_time courier
o1 572 606 614.0 626.0 c274
o10 611 642 652.0 660.0 c225
o100 510 528 536.0 545.0 c173
o1000 410 433 433.0 446.0 c232
o1001 361 387 391.0 400.0 c171
o1002 148 164 175.0 181.0 c79
o1003 421 446 450.0 457.0 c172
o1004 119 203 223.0 234.0 c102
o1005 518 539 547.0 557.0 c264
o1006 226 240 240 252.0 c53
o1007 608 617 621.0 633.0 c294
o1008 455 485 490.0 497.0 c246
o1009 101 109 115.0 124.0 c71
o101 199 216 229.0 244.0 c108
o1010 686 711 712.0 729.0 c323
o1011 148 170 172.0 182.0 c38
o1012 133 136 155.0 163.0 c75
o1013 392 411 414.0 424.0 c173
o1014 253 274 282.0 291.0 c122
o1015 508 526 538.0 546.0 c177
o1016 180 206 220.0 232.0 c35
o1017 611 628 630.0 637.0 c185
o1018 615 646 650.0 656.0 c291
o102 153 174 186.0 193.0 c28
o1020 92 101 107.0 124.0 c2
o1021 590 607 611.0 623.0 c289
o1022 381 405 405.0 413.0 c114
o1024 468 471 491.0 501.0 c209
o1025 617 627 637.0 652.0 c256
o1026 225 247 247 253.0 c123
o1027 109 116 125.0 137.0 c17
o1028 324 347 352.0 361.0 c101
o1029 604 629 634.0 644.0 c293
o103 65 90 94.0 104.0 c80
o1030 718 724 730.0 738.0 c317
o1031 238 271 288.0 294.0 c72
o1032 412 434 434 445.0 c236
o1033 460 483 496.0 504.0 c219
o1034 728 735 738.0 746.0 c277
o1035 554 574 577.0 592.0 c237
o1036 395 405 407.0 418.0 c138
o1037 705 735 735 743.0 c299
o1038 535 556 564.0 581.0 c234
o1039 76 121 132.0 140.0 c88
o104 258 307 317.0 327.0 c135
o1041 539 571 573.0 580.0 c180
o1042 65 80 81.0 92.0 c79
o1043 141 152 159.0 176.0 c41
o1044 334 373 376.0 388.0 c113
o1045 613 632 635.0 641.0 c233
o1046 660 678 691.0 705.0 c229
o1048 600 621 629.0 637.0 c209
o1049 551 566 567.0 579.0 c205
o105 376 392 398.0 409.0 c121
o1050 113 188 193.0 208.0 c77
o1051 208 216 236.0 248.0 c75
o1052 140 150 162.0 171.0 c98
o1053 578 585 596.0 611.0 c171
o1054 491 509 513.0 528.0 c275
o1055 84 103 106.0 112.0 c8
o1056 177 188 193.0 212.0 c33
o1057 578 595 597.0 607.0 c166
o1058 440 480 482.0 493.0 c192
o1059 119 140 152.0 164.0 c2
o106 244 246 285.0 300.0 c140
o1060 577 608 613.0 620.0 c238
o1061 242 261 267.0 273.0 c91
o1062 209 221 228.0 234.0 c32
o1063 722 737 740.0 755.0 c329
o1064 233 254 270.0 277.0 c152
o1065 239 264 271.0 278.0 c149
o1066 475 496 505.0 510.0 c290
o1067 56 63 70.0 76.0 c46
o1068 552 565 565.0 571.0 c259
o107 567 582 582 589.0 c201
o1071 569 593 599.0 617.0 c184
o1072 458 480 491.0 498.0 c266
o1073 139 152 159.0 173.0 c58
o1074 714 723 727.0 734.0 c298
o1075 522 554 557.0 568.0 c203
