Assignment_time Pickup_time Courier_ID Orders
135 152.0 c2 o345
165 174.0 c2 o356
115 131.0 c5 o962
140 147.0 c5 o466
190 198.0 c6 o787
240 249.0 c6 o81
260 280.0 c6 o443
290 299.0 c6 o949
270 284.0 c7 o520
185 195.0 c8 o860
215 224.0 c8 o219
260 275.0 c8 o204
275 297.0 c8 o904
260 282.0 c9 o249
290 300.0 c9 o366
255 264.0 c10 o848
265 281.0 c10 o173
260 282.0 c11 o634
260 281.0 c12 o73
270 293.0 c13 o794
200 212.0 c14 o934
225 235.0 c14 o648
260 277.0 c14 o734
290 300.0 c14 o468
250 260.0 c15 o914
265 290.0 c15 o272
215 223.0 c16 o245
245 262.0 c16 o37
280 299.0 c16 o513
215 223.0 c17 o749
235 246.0 c17 o937
260 272.0 c17 o133
275 291.0 c17 o374
210 219.0 c18 o521
235 245.0 c18 o370
255 268.0 c18 o353
270 291.0 c18 o580
235 248.0 c19 o791
250 263.0 c19 o435
270 291.0 c19 o596
255 269.0 c20 o50
270 290.0 c20 o935
275 300.0 c21 o293
310 316.0 c21 o720
330 337.0 c21 o879
360 367.0 c21 o925
405 414.0 c21 o381
260 281.0 c22 o874
290 310.0 c22 o104
340 350.0 c22 o713
355 370.0 c22 o563
385 394.0 c22 o477
410 420.0 c22 o48
295 306.0 c23 o690
315 327.0 c23 o669
340 351.0 c23 o110
355 370.0 c23 o572
385 397.0 c23 o797
400 414.0 c23 o804
450 460.0 c23 o446
305 315.0 c25 o536
320 334.0 c25 o938
345 357.0 c25 o821
360 376.0 c25 o632
390 399.0 c25 o666
410 422.0 c25 o355
460 467.0 c25 o10
445 455.0 c26 o383
345 357.0 c29 o137
385 394.0 c29 o364
405 416.0 c29 o703
460 468.0 c29 o160
305 315.0 c30 o400
320 331.0 c30 o881
335 344.0 c30 o673
345 359.0 c30 o518
365 379.0 c30 o722
395 404.0 c30 o883
410 419.0 c30 o32
460 469.0 c30 o56
315 323.0 c31 o235
335 343.0 c31 o517
350 360.0 c31 o802
375 385.0 c31 o616
400 411.0 c31 o680
445 452.0 c31 o422
465 478.0 c31 o710
305 315.0 c32 o103
335 342.0 c32 o824
375 388.0 c32 o490
400 411.0 c32 o241
460 468.0 c32 o351
320 330.0 c33 o700
335 345.0 c33 o113
355 370.0 c33 o559
380 390.0 c33 o321
400 409.0 c33 o814
425 432.0 c33 o561
460 469.0 c33 o433
320 331.0 c35 o854
345 357.0 c35 o891
365 379.0 c35 o582
390 399.0 c35 o907
415 426.0 c35 o233
440 447.0 c35 o301
460 467.0 c35 o798
320 329.0 c37 o171
335 348.0 c37 o39
365 382.0 c37 o562
400 412.0 c37 o206
460 467.0 c37 o786
305 314.0 c38 o116
320 333.0 c38 o274
340 355.0 c38 o640
360 376.0 c38 o945
400 411.0 c38 o75
410 423.0 c38 o855
450 458.0 c38 o924
470 480.0 c38 o259
305 314.0 c39 o712
315 325.0 c39 o297
335 342.0 c39 o725
340 353.0 c39 o482
360 375.0 c39 o170
385 394.0 c39 o4
400 412.0 c39 o394
425 436.0 c39 o439
445 453.0 c39 o377
460 471.0 c39 o378
315 322.0 c40 o23
335 345.0 c40 o63
355 364.0 c40 o78
370 384.0 c40 o358
395 404.0 c40 o906
345 363.0 c41 o721
370 382.0 c41 o546
395 402.0 c41 o432
410 420.0 c41 o282
440 448.0 c41 o84
460 467.0 c41 o587
315 328.0 c42 o108
335 345.0 c42 o323
345 361.0 c42 o123
390 398.0 c42 o729
410 420.0 c42 o53
455 464.0 c42 o693
335 347.0 c43 o150
315 328.0 c44 o142
335 346.0 c44 o26
355 366.0 c44 o899
