order placement_time ready_time pickup_time dropoff_time courier
o1 615 660 660.0 668.0 c77
o10 485 495 497.0 512.0 c36
o100 33 34 52.0 63.0 c2
o101 558 579 579 591.0 c67
o102 249 260 260 275.0 c15
o103 614 629 639.0 651.0 c58
o104 625 635 644.0 654.0 c60
o105 667 697 701.0 709.0 c84
o106 137 142 152.0 164.0 c12
o107 639 640 653.0 664.0 c70
o108 589 598 600.0 611.0 c57
o109 651 674 679.0 686.0 c74
o11 549 579 579.0 586.0 c70
o110 391 395 406.0 415.0 c25
o111 611 615 620.0 632.0 c61
o112 757 767 779.0 786.0 c94
o113 496 516 517.0 526.0 c67
o114 500 506 518.0 530.0 c44
o115 640 650 665.0 673.0 c84
o116 93 98 105.0 111.0 c5
o117 604 634 636.0 646.0 c85
o118 266 271 280.0 292.0 c33
o119 118 138 152.0 167.0 c13
o12 491 495 510.0 518.0 c35
o120 483 503 506.0 516.0 c51
o121 634 640 646.0 657.0 c64
o122 558 564 565.0 576.0 c74
o123 478 508 517.0 525.0 c42
o124 740 755 757.0 766.0 c94
o125 730 750 750 755.0 c89
o126 644 670 674.0 687.0 c78
o127 111 124 125.0 138.0 c5
o129 637 640 652.0 661.0 c87
o13 555 572 575.0 581.0 c73
o130 180 190 190.0 200.0 c17
o131 143 173 180.0 185.0 c10
o132 640 650 661.0 671.0 c74
o133 174 194 197.0 210.0 c12
o134 610 633 638.0 644.0 c81
o135 697 717 725.0 736.0 c82
o136 442 455 455 465.0 c35
o137 538 568 570.0 579.0 c72
o138 118 122 126.0 136.0 c11
o139 605 635 636.0 652.0 c83
o14 610 636 646.0 656.0 c80
o140 426 442 442.0 453.0 c24
o141 510 525 525 532.0 c74
o142 315 330 330 338.0 c30
o143 681 695 698.0 706.0 c94
o144 585 593 599.0 613.0 c39
o145 386 394 400.0 406.0 c34
o146 587 599 599.0 607.0 c62
o147 599 619 620.0 632.0 c39
o148 664 674 676.0 688.0 c62
o149 537 572 575.0 589.0 c57
o150 652 666 668.0 675.0 c73
o151 212 225 225.0 241.0 c13
o152 246 261 262.0 276.0 c7
o153 730 734 744.0 752.0 c82
o154 685 697 709.0 716.0 c85
o155 706 719 725.0 736.0 c79
o156 144 168 168 181.0 c15
o157 610 657 659.0 672.0 c61
o158 280 288 293.0 304.0 c18
o159 587 607 610.0 621.0 c60
o16 672 700 707.0 719.0 c82
o160 605 625 626.0 634.0 c51
o161 544 559 559.0 564.0 c39
o162 631 641 650.0 656.0 c71
o163 637 653 658.0 670.0 c62
o164 515 529 529 540.0 c78
o165 426 446 447.0 455.0 c26
o166 337 350 351.0 357.0 c25
o167 543 553 553 559.0 c53
o168 587 595 596.0 604.0 c51
o169 546 558 558.0 566.0 c42
o17 520 535 535 548.0 c73
o170 655 678 680.0 690.0 c73
o171 668 678 687.0 700.0 c69
o172 546 564 564 573.0 c37
o173 518 538 538.0 551.0 c66
o174 579 592 592.0 605.0 c70
o175 126 132 135.0 143.0 c16
o176 509 539 539.0 546.0 c42
o177 236 243 247.0 260.0 c17
o178 746 762 762.0 770.0 c93
o179 266 292 296.0 304.0 c24
o18 507 512 519.0 524.0 c65
o180 225 244 244 250.0 c14
o181 587 608 610.0 620.0 c72
o182 602 612 612.0 621.0 c62
o183 747 761 765.0 775.0 c88
o184 579 591 596.0 610.0 c54
o185 779 794 794.0 801.0 c94
o186 663 688 691.0 698.0 c85
o187 212 242 244.0 250.0 c15
o188 248 274 281.0 290.0 c26
o189 587 595 596.0 607.0 c69
o19 718 727 732.0 742.0 c89
o190 460 475 475.0 489.0 c48
o191 591 626 636.0 644.0 c71
o192 164 194 195.0 203.0 c10
o193 103 122 124.0 134.0 c7
o194 582 607 613.0 620.0 c51
o195 565 580 580.0 589.0 c54
o196 106 131 141.0 155.0 c8
o197 459 462 469.0 475.0 c47
o198 581 583 591.0 599.0 c37
o199 349 366 375.0 381.0 c30
o2 621 636 641.0 647.0 c87
o20 624 654 659.0 669.0 c83
o200 755 784 784.0 794.0 c88
o201 170 187 189.0 195.0 c15
o202 661 686 695.0 704.0 c61
o203 711 719 728.0 742.0 c90
