Assignment_time Pickup_time Courier_ID Orders
45 62.0 c2 o2170
90 101.0 c2 o1478
110 124.0 c2 o1592
140 146.0 c2 o2341
155 165.0 c2 o452
170 179.0 c2 o1484
20 38.0 c3 o2304
45 54.0 c3 o2461
110 118.0 c3 o2181
125 133.0 c3 o658
140 150.0 c3 o2062
165 175.0 c3 o1223
25 35.0 c4 o1285
50 73.0 c4 o1057
80 86.0 c4 o1310
90 101.0 c4 o987
115 123.0 c4 o722
140 148.0 c4 o1138
20 37.0 c5 o822
35 50.0 c5 o3100
85 93.0 c5 o3197
100 108.0 c5 o938
160 170.0 c5 o2495
20 34.0 c6 o1967
35 52.0 c6 o381
50 66.0 c6 o2594
80 85.0 c6 o870
95 102.0 c6 o546
110 115.0 c6 o289
120 131.0 c6 o2944
150 158.0 c6 o1887
170 177.0 c6 o1354
180 188.0 c6 o274
195 204.0 c6 o2336
215 227.0 c6 o2993
10 18.0 c7 o1486
40 52.0 c7 o1721
50 75.0 c7 o1843
85 93.0 c7 o1876
105 115.0 c7 o2317
125 135.0 c7 o2224
140 150.0 c7 o1416
155 165.0 c7 o1197
175 182.0 c7 o315
200 209.0 c7 o1924
15 28.0 c8 o2857
30 43.0 c8 o954
50 65.0 c8 o659
75 83.0 c8 o2721
90 98.0 c8 o2462
100 110.0 c8 o1957
125 132.0 c8 o2861
145 152.0 c8 o3037
160 169.0 c8 o952
120 130.0 c9 o173
135 147.0 c9 o295
195 202.0 c9 o2891
30 48.0 c10 o380
80 86.0 c10 o64
100 111.0 c10 o194
145 154.0 c10 o1680
15 27.0 c11 o2992
30 46.0 c11 o1878
50 68.0 c11 o1325
75 85.0 c11 o373
100 112.0 c11 o2390
110 122.0 c11 o267
145 153.0 c11 o2949
160 170.0 c11 o2537
15 23.0 c12 o1046
30 40.0 c12 o1022
45 57.0 c12 o1271
70 77.0 c12 o486
80 90.0 c12 o2306
100 109.0 c12 o2945
130 137.0 c12 o2182
145 153.0 c12 o865
170 180.0 c12 o2602
80 90.0 c13 o2202
100 108.0 c13 o2960
120 131.0 c13 o1402
215 225.0 c13 o2015
40 51.0 c14 o2621
75 85.0 c14 o97
95 105.0 c14 o2152
115 129.0 c14 o1103
140 149.0 c14 o2867
165 176.0 c14 o1875
10 15.0 c15 o221
40 49.0 c15 o942
70 77.0 c15 o2685
90 97.0 c15 o3044
110 119.0 c15 o703
125 140.0 c15 o859
150 156.0 c15 o1929
165 170.0 c15 o2697
25 39.0 c16 o192
45 56.0 c16 o116
75 81.0 c16 o1787
85 94.0 c16 o2702
105 114.0 c16 o1632
125 137.0 c16 o2774
140 151.0 c16 o1373
165 175.0 c16 o424
50 74.0 c17 o788
85 95.0 c17 o1168
105 113.0 c17 o1034
135 141.0 c17 o1060
165 171.0 c17 o1299
175 188.0 c17 o2677
200 210.0 c17 o948
210 221.0 c17 o357
230 238.0 c17 o2759
20 37.0 c18 o2372
35 49.0 c18 o836
50 64.0 c18 o2567
80 90.0 c18 o2473
