order placement_time ready_time pickup_time dropoff_time courier
o1 572 614 620.0 632.0 c272
o10 611 649 664.0 672.0 c229
o100 510 532 539.0 548.0 c233
o1000 410 438 438.0 451.0 c232
o1001 361 393 393.0 402.0 c144
o1002 148 168 176.0 182.0 c51
o1003 421 452 456.0 463.0 c177
o1004 119 224 227.0 238.0 c46
o1005 518 544 551.0 561.0 c231
o1006 226 243 246.0 258.0 c148
o1007 608 619 624.0 636.0 c241
o1008 455 492 500.0 507.0 c216
o1009 101 111 117.0 126.0 c18
o101 199 220 230.0 245.0 c78
o1010 686 717 718.0 735.0 c304
o1011 148 175 179.0 189.0 c4
o1013 392 415 416.0 426.0 c139
o1014 253 279 285.0 294.0 c117
o1015 508 530 544.0 552.0 c277
o1016 180 212 217.0 229.0 c68
o1017 611 632 643.0 650.0 c230
o1018 615 653 657.0 663.0 c213
o1019 257 258 277.0 295.0 c126
o102 153 179 180.0 187.0 c60
o1020 92 103 111.0 128.0 c72
o1021 590 611 620.0 632.0 c246
o1022 381 411 411.0 419.0 c112
o1024 468 471 484.0 494.0 c254
o1025 617 629 633.0 648.0 c228
o1026 225 252 274.0 280.0 c115
o1027 109 117 125.0 137.0 c34
o1028 324 352 357.0 366.0 c92
o1029 604 635 644.0 654.0 c286
o103 65 96 100.0 110.0 c22
o1030 718 725 735.0 743.0 c262
o1031 238 279 286.0 292.0 c96
o1032 412 439 439 450.0 c177
o1033 460 488 501.0 509.0 c219
o1034 728 736 741.0 749.0 c296
o1035 554 579 579.0 594.0 c272
o1036 395 407 407.0 418.0 c103
o1037 705 742 744.0 752.0 c293
o1038 535 561 574.0 591.0 c289
o104 258 319 325.0 335.0 c126
o1040 108 186 192.0 204.0 c73
o1041 539 579 579.0 586.0 c257
o1042 65 83 85.0 96.0 c14
o1043 141 154 155.0 178.0 c97
o1044 334 382 384.0 396.0 c140
o1045 613 636 642.0 648.0 c229
o1046 660 682 694.0 708.0 c323
o1048 600 626 644.0 652.0 c226
o1049 551 569 570.0 582.0 c214
o105 376 396 399.0 410.0 c158
o1050 113 206 224.0 239.0 c66
o1051 208 218 222.0 234.0 c113
o1053 578 586 595.0 610.0 c237
o1054 491 513 513.0 528.0 c269
o1055 84 107 117.0 123.0 c66
o1056 177 190 200.0 219.0 c56
o1057 578 599 605.0 615.0 c197
o1058 440 490 495.0 506.0 c214
o1059 119 145 150.0 180.0 c88
o1060 577 615 620.0 627.0 c177
o1061 242 265 275.0 281.0 c114
o1062 209 224 228.0 234.0 c70
o1063 722 740 740.0 755.0 c329
o1064 233 259 265.0 272.0 c149
o1065 239 270 281.0 288.0 c157
o1066 475 501 508.0 513.0 c213
o1067 56 64 70.0 76.0 c46
o1068 552 568 570.0 576.0 c166
o1069 137 147 153.0 159.0 c41
o107 567 585 585.0 592.0 c269
o1070 127 138 146.0 153.0 c59
o1071 569 599 610.0 628.0 c249
o1072 458 485 488.0 495.0 c275
o1073 139 155 157.0 171.0 c57
o1074 714 725 729.0 736.0 c299
o1075 522 562 566.0 577.0 c298
o1076 296 298 308.0 315.0 c131
o1077 142 155 159.0 165.0 c55
o1078 236 298 304.0 321.0 c102
