order placement_time ready_time pickup_time dropoff_time courier
o1 536 546 556.0 570.0 c327
o10 692 709 711.0 726.0 c403
o100 468 471 484.0 495.0 c292
o1000 443 457 462.0 485.0 c208
o1001 604 626 627.0 638.0 c367
o1002 611 622 625.0 633.0 c236
o1003 350 378 383.0 398.0 c159
o1004 222 235 243.0 252.0 c98
o1005 669 686 687.0 694.0 c325
o1006 94 123 127.0 136.0 c18
o1007 214 234 238.0 245.0 c126
o1008 537 572 578.0 589.0 c285
o1009 381 385 401.0 414.0 c206
o101 467 470 483.0 491.0 c213
o1010 535 540 557.0 565.0 c348
o1011 438 453 456.0 462.0 c203
o1012 239 254 262.0 268.0 c137
o1013 457 477 491.0 500.0 c151
o1014 172 179 193.0 205.0 c91
o1015 464 483 491.0 497.0 c350
o1016 27 57 62.0 79.0 c10
o1017 634 654 658.0 693.0 c319
o1018 150 165 167.0 174.0 c55
o1019 601 612 613.0 620.0 c286
o102 563 568 580.0 600.0 c362
o1020 614 625 625 634.0 c371
o1021 371 391 402.0 419.0 c236
o1022 28 37 43.0 56.0 c22
o1023 615 617 626.0 646.0 c358
o1024 548 618 625.0 634.0 c345
o1025 606 611 620.0 641.0 c370
o1026 571 598 603.0 613.0 c260
o1027 268 278 286.0 308.0 c118
o1028 658 665 670.0 680.0 c383
o1029 494 519 521.0 535.0 c227
o103 171 173 187.0 202.0 c52
o1030 430 435 445.0 459.0 c312
o1031 519 534 548.0 558.0 c290
o1032 164 174 175.0 189.0 c80
o1033 609 613 621.0 628.0 c364
o1034 97 113 116.0 135.0 c14
o1035 24 33 45.0 63.0 c25
o1036 490 505 506.0 513.0 c210
o1037 352 362 365.0 372.0 c167
o1038 593 609 609.0 627.0 c295
o1039 510 525 529.0 554.0 c256
o104 306 336 345.0 355.0 c133
o1040 150 162 163.0 173.0 c84
o1041 466 471 484.0 513.0 c327
o1042 79 83 87.0 92.0 c37
o1043 356 384 385.0 397.0 c217
o1044 125 141 146.0 159.0 c75
o1045 89 132 132.0 144.0 c133
o1046 11 23 23.0 31.0 c12
o1047 386 415 418.0 427.0 c141
o1048 37 51 71.0 82.0 c3
o1049 566 591 597.0 603.0 c240
o105 126 160 163.0 171.0 c56
o1051 363 378 386.0 403.0 c227
o1052 221 231 239.0 255.0 c75
o1053 464 467 473.0 486.0 c283
o1054 522 541 551.0 564.0 c272
o1055 514 524 535.0 541.0 c337
o1056 39 73 77.0 98.0 c2
o1057 29 58 98.0 106.0 c13
o1058 190 198 205.0 222.0 c50
o1059 59 66 66 73.0 c42
o106 714 757 764.0 772.0 c403
o1060 97 141 141.0 167.0 c61
o1061 116 132 140.0 151.0 c117
o1062 390 393 409.0 416.0 c211
o1063 549 579 585.0 597.0 c339
o1064 507 513 522.0 535.0 c246
o1065 580 630 632.0 641.0 c378
o1066 122 136 140.0 155.0 c104
o1067 484 517 535.0 547.0 c288
o1068 490 515 524.0 533.0 c294
o1069 211 219 225.0 240.0 c53
o107 180 182 198.0 226.0 c33
o1070 160 178 182.0 195.0 c64
o1071 456 490 492.0 501.0 c208
o1072 166 183 184.0 201.0 c37
o1073 183 189 207.0 223.0 c92
o1074 701 706 715.0 720.0 c356
o1075 542 558 562.0 579.0 c320
o1076 679 694 694 707.0 c335
o1077 362 390 390.0 396.0 c192
o1078 478 483 489.0 504.0 c346
o1079 254 272 283.0 298.0 c192
o108 433 443 443 466.0 c224
o1080 469 479 479.0 501.0 c289
o1081 318 322 334.0 343.0 c192
o1082 550 553 561.0 572.0 c200
o1083 462 482 484.0 499.0 c249
o1084 94 118 121.0 128.0 c16
o1085 480 516 526.0 533.0 c331
o1086 76 94 99.0 106.0 c103
o1087 611 627 630.0 637.0 c349
o1088 478 488 495.0 514.0 c296
o1089 611 621 622.0 642.0 c321
o109 188 201 217.0 227.0 c110
o1090 472 490 496.0 504.0 c307
o1091 509 581 584.0 592.0 c310
o1092 244 260 265.0 271.0 c192
o1093 622 632 633.0 642.0 c295
o1094 593 618 622.0 632.0 c248
o1095 446 476 479.0 485.0 c303
o1096 581 587 598.0 611.0 c350
o1097 554 568 575.0 594.0 c298
o1098 418 427 428.0 442.0 c215
o1099 290 309 318.0 331.0 c213
o11 85 109 112.0 124.0 c36
o110 353 377 382.0 395.0 c183
o1100 99 104 113.0 121.0 c10
o1101 249 265 267.0 275.0 c118
o1102 349 361 366.0 371.0 c222
o1103 110 116 125.0 139.0 c55
o1104 578 592 597.0 612.0 c237
o1105 203 209 229.0 243.0 c101
o1106 500 525 537.0 545.0 c240
o1107 139 144 149.0 157.0 c128
o1108 684 704 709.0 725.0 c374
o1109 240 273 287.0 297.0 c198
o111 709 729 730.0 736.0 c367
o1110 650 665 665 675.0 c359
o1111 436 438 454.0 464.0 c157
o1112 671 685 691.0 705.0 c353
o1113 566 568 582.0 595.0 c369
o1114 742 749 757.0 772.0 c368
o1115 593 599 604.0 626.0 c282
o1116 493 509 515.0 530.0 c357
o1117 343 383 392.0 405.0 c156
o1118 165 168 176.0 189.0 c107
o1119 268 287 291.0 304.0 c168
o112 566 578 578.0 584.0 c351
o1120 145 174 175.0 189.0 c22
o1121 364 385 386.0 405.0 c207
o1122 321 337 338.0 351.0 c151
o1123 559 560 571.0 579.0 c363
o1124 433 448 448.0 457.0 c150
o1125 378 380 393.0 400.0 c212
o1126 364 371 376.0 385.0 c192
o1127 223 234 250.0 259.0 c130
o1128 241 251 260.0 267.0 c117
o1129 478 497 502.0 513.0 c323
o113 352 361 362.0 370.0 c140
o1130 132 149 149 158.0 c115
o1131 239 246 251.0 260.0 c126
o1132 545 641 648.0 655.0 c357
o1133 687 702 710.0 720.0 c345
o1134 414 452 455.0 465.0 c223
o1135 530 553 556.0 569.0 c110
o1136 207 221 221.0 227.0 c108
o1137 140 145 153.0 160.0 c6
o1138 134 148 149.0 162.0 c39
o1139 269 284 290.0 304.0 c123
o114 460 465 482.0 496.0 c294
o1140 617 632 637.0 645.0 c277
o1141 395 412 419.0 431.0 c238
o1142 505 514 523.0 536.0 c254
o1143 198 223 231.0 240.0 c118
o1144 656 659 673.0 680.0 c368
o1145 626 633 648.0 661.0 c309
o1146 95 125 130.0 145.0 c1
o1147 10 20 30.0 38.0 c5
o1148 332 360 368.0 374.0 c147
o1149 593 623 630.0 648.0 c355
