order placement_time ready_time pickup_time dropoff_time courier
o10 485 497 499.0 517.0 c37
o100 33 34 61.0 74.0 c3
o101 558 584 589.0 603.0 c38
o102 249 262 265.0 284.0 c11
o103 614 632 640.0 655.0 c87
o104 625 637 641.0 652.0 c60
o105 667 704 713.0 723.0 c83
o106 137 143 157.0 171.0 c11
o108 589 600 606.0 620.0 c73
o109 651 679 684.0 692.0 c62
o11 549 586 589.0 596.0 c47
o110 391 396 406.0 417.0 c26
o111 611 616 628.0 642.0 c69
o113 496 521 523.0 534.0 c52
o114 500 507 521.0 535.0 c44
o115 640 652 657.0 666.0 c76
o116 93 99 103.0 110.0 c8
o118 266 272 284.0 298.0 c20
o119 118 143 163.0 182.0 c8
o12 491 496 507.0 517.0 c52
o120 483 508 513.0 525.0 c51
o121 634 641 654.0 667.0 c86
o122 558 565 572.0 586.0 c53
o123 478 515 515.0 524.0 c73
o125 730 755 766.0 771.0 c88
o127 111 127 134.0 150.0 c7
o128 63 88 88.0 99.0 c3
o129 637 640 654.0 664.0 c65
o13 555 576 582.0 588.0 c54
o130 180 192 200.0 211.0 c17
o131 143 180 191.0 196.0 c9
o132 640 652 663.0 675.0 c60
o133 174 199 199.0 215.0 c5
o134 610 638 646.0 653.0 c62
o135 697 722 726.0 739.0 c94
o136 442 458 458.0 470.0 c54
o137 538 575 575 585.0 c37
o138 118 123 136.0 148.0 c12
o139 605 642 650.0 670.0 c83
o140 426 446 446.0 459.0 c28
o141 510 528 529.0 537.0 c43
o142 315 333 338.0 347.0 c29
o144 585 595 605.0 622.0 c75
o145 386 396 402.0 409.0 c24
o146 587 602 612.0 622.0 c37
o147 599 624 629.0 644.0 c48
o148 664 676 685.0 699.0 c81
o149 537 580 581.0 598.0 c64
o15 681 684 706.0 712.0 c86
o150 652 669 671.0 679.0 c44
o151 212 228 230.0 249.0 c11
o152 246 264 266.0 283.0 c10
o153 730 735 747.0 757.0 c84
o154 685 700 705.0 713.0 c81
o155 706 722 731.0 745.0 c83
o156 144 174 175.0 191.0 c12
o157 610 668 672.0 682.0 c65
o158 280 290 295.0 308.0 c18
o159 587 612 618.0 631.0 c78
o16 672 707 716.0 730.0 c80
o160 605 630 634.0 644.0 c68
o161 544 562 565.0 570.0 c76
o163 637 657 669.0 683.0 c79
o164 515 532 532 545.0 c69
o165 426 451 458.0 467.0 c34
o166 337 353 359.0 365.0 c31
o167 543 555 555 561.0 c70
o168 587 597 604.0 614.0 c56
o169 546 561 567.0 577.0 c73
o17 520 538 538.0 554.0 c48
o170 655 683 691.0 702.0 c79
o171 668 680 681.0 697.0 c66
o172 546 568 568.0 578.0 c74
o173 518 543 543 560.0 c66
o174 579 595 597.0 617.0 c45
o175 126 133 135.0 145.0 c16
o176 509 546 553.0 561.0 c47
o177 236 244 248.0 264.0 c8
o178 746 766 775.0 784.0 c94
o179 266 298 302.0 311.0 c28
o18 507 513 521.0 526.0 c65
o180 225 248 248.0 255.0 c14
o181 587 613 617.0 629.0 c47
o182 602 614 619.0 629.0 c68
o183 747 764 779.0 791.0 c90
o184 579 594 603.0 620.0 c69
o185 779 797 814.0 822.0 c89
o186 663 694 705.0 713.0 c87
o187 212 249 251.0 258.0 c15
o188 248 280 284.0 294.0 c28
o189 587 597 597 610.0 c46
o19 718 729 731.0 743.0 c82
o190 460 478 479.0 496.0 c57
o191 591 634 646.0 656.0 c85
o193 103 126 130.0 141.0 c11
o194 582 613 616.0 624.0 c70
o195 565 583 585.0 595.0 c73
o196 106 137 155.0 172.0 c4
o197 459 462 469.0 476.0 c35
o198 581 583 592.0 601.0 c39
o199 349 370 370.0 377.0 c24
o2 621 639 649.0 656.0 c66
o20 624 661 673.0 685.0 c68
o200 755 791 796.0 807.0 c94
o201 170 191 201.0 208.0 c12
o202 661 692 705.0 716.0 c94
o203 711 721 730.0 747.0 c79
o204 477 495 502.0 509.0 c36
o205 683 719 728.0 745.0 c87
o206 691 716 728.0 734.0 c93
o207 583 593 596.0 606.0 c61
o208 593 618 630.0 640.0 c59
o209 501 519 523.0 534.0 c67
o21 607 615 625.0 631.0 c45
o211 685 696 713.0 721.0 c92
o212 471 489 493.0 506.0 c34
o213 546 571 573.0 580.0 c43
o214 151 173 182.0 197.0 c14
o215 638 650 660.0 673.0 c78
o216 573 579 584.0 592.0 c67
o217 653 666 672.0 689.0 c70
o218 158 185 193.0 208.0 c8
o219 330 338 346.0 356.0 c33
o22 142 160 166.0 178.0 c10
o220 616 632 647.0 658.0 c82
o221 583 616 624.0 630.0 c39
o222 676 689 697.0 709.0 c80
o223 285 293 310.0 321.0 c31
o224 437 455 459.0 476.0 c43
o225 594 607 607 613.0 c54
o226 163 200 212.0 226.0 c14
o227 485 507 512.0 517.0 c56
o228 261 277 284.0 293.0 c25
o229 247 272 279.0 289.0 c33
o23 584 621 626.0 636.0 c66
o230 394 406 408.0 418.0 c34
o231 685 697 721.0 729.0 c88
o232 229 266 270.0 275.0 c15
o233 74 92 100.0 109.0 c7
o234 488 506 510.0 525.0 c35
o235 248 280 284.0 298.0 c29
o236 518 555 556.0 571.0 c51
o239 577 595 596.0 604.0 c37
o24 575 597 606.0 614.0 c60
o240 184 195 200.0 216.0 c4
o241 143 158 161.0 172.0 c14
o242 577 597 597.0 606.0 c74
o243 225 243 247.0 264.0 c6
o244 303 316 321.0 335.0 c20
o245 592 598 609.0 622.0 c64
o246 589 595 600.0 607.0 c68
o247 611 613 627.0 640.0 c37
o248 699 715 725.0 740.0 c84
o249 647 654 668.0 680.0 c87
o25 689 702 713.0 723.0 c79
o250 92 114 124.0 138.0 c6
o252 631 661 669.0 681.0 c61
o253 508 534 535.0 542.0 c53
o254 666 688 692.0 714.0 c84
o255 561 576 579.0 593.0 c57
o256 622 688 690.0 707.0 c68
o257 527 533 538.0 548.0 c45
o258 617 622 640.0 648.0 c65
o259 579 599 603.0 611.0 c76
o26 519 536 540.0 550.0 c62
o260 562 590 590 600.0 c43
o261 628 634 654.0 664.0 c75
o262 651 691 721.0 733.0 c91
o263 664 689 693.0 703.0 c83
o264 119 131 138.0 151.0 c14
o266 649 659 664.0 671.0 c84
o268 561 576 578.0 590.0 c44
o269 633 649 651.0 669.0 c73
o27 583 593 596.0 612.0 c71
o270 533 570 570.0 581.0 c65
o271 556 566 566.0 576.0 c66
o273 613 650 661.0 675.0 c63
o274 423 454 458.0 467.0 c52
o275 677 714 722.0 739.0 c86
o276 581 618 630.0 648.0 c42
o277 619 656 663.0 670.0 c67
o278 665 675 684.0 693.0 c85
o279 478 508 522.0 529.0 c38
o28 88 103 109.0 122.0 c10
o281 104 140 153.0 169.0 c5
o282 399 400 416.0 430.0 c23
o283 154 169 178.0 194.0 c5
o284 715 727 735.0 746.0 c90
o286 604 622 628.0 637.0 c62
o287 364 382 384.0 394.0 c25
o288 598 620 623.0 641.0 c54
o289 590 596 613.0 620.0 c66
o29 606 643 658.0 667.0 c69
o290 180 197 205.0 215.0 c16
o291 224 245 245.0 255.0 c19
o292 577 620 626.0 638.0 c43
o293 178 219 219 232.0 c18
o294 645 657 661.0 675.0 c85
o295 112 142 163.0 179.0 c13
o296 417 430 430 438.0 c28
o297 516 547 547.0 555.0 c56
o298 186 231 236.0 242.0 c9
o299 578 591 596.0 606.0 c77
o30 720 732 748.0 757.0 c91
o300 1 12 28.0 36.0 c2
o301 622 634 651.0 659.0 c84
o302 367 382 388.0 402.0 c23
o303 244 266 273.0 286.0 c18
o304 672 675 689.0 695.0 c75
o306 294 306 306.0 315.0 c27
o307 613 615 630.0 642.0 c74
o308 641 672 677.0 688.0 c83
o31 129 154 156.0 163.0 c12
o310 619 631 644.0 656.0 c67
o311 486 491 497.0 513.0 c53
o312 278 300 303.0 320.0 c26
o313 380 385 392.0 401.0 c29
o314 596 632 645.0 661.0 c61
o315 588 613 617.0 628.0 c65
o316 35 62 74.0 86.0 c1
o317 514 530 530.0 544.0 c51
o318 486 487 507.0 520.0 c40
o32 362 387 390.0 402.0 c30
o320 641 677 689.0 702.0 c63
o321 656 667 675.0 680.0 c75
o322 559 595 601.0 620.0 c63
o323 184 219 223.0 239.0 c16
o324 158 198 200.0 210.0 c15
o325 671 679 694.0 704.0 c61
o326 592 613 616.0 630.0 c67
o327 741 772 783.0 797.0 c89
o328 558 574 575.0 587.0 c69
o329 651 669 673.0 686.0 c69
o33 511 548 552.0 566.0 c72
o330 475 512 519.0 531.0 c68
o331 564 582 582.0 595.0 c68
o332 159 177 188.0 194.0 c17
o333 635 663 676.0 688.0 c64
o335 413 439 442.0 449.0 c30
o337 369 387 390.0 406.0 c33
o338 478 515 518.0 534.0 c77
o339 584 614 622.0 631.0 c76
o34 602 633 639.0 652.0 c76
o340 640 647 664.0 674.0 c71
o341 231 259 259.0 272.0 c16
o342 744 757 767.0 783.0 c91
o343 760 766 780.0 787.0 c88
o344 207 228 228 246.0 c7
o345 246 252 264.0 269.0 c5
o346 272 285 290.0 298.0 c27
o347 342 377 382.0 394.0 c24
o348 289 311 314.0 320.0 c18
o349 530 531 542.0 555.0 c67
o350 606 607 626.0 635.0 c60
o351 440 451 459.0 476.0 c36
o352 551 571 572.0 581.0 c72
o353 649 667 679.0 694.0 c77
o354 328 340 340 348.0 c31
o355 571 608 608.0 617.0 c43
o356 141 178 188.0 204.0 c10
o357 481 509 522.0 529.0 c48
o358 22 59 59 68.0 c2
o359 603 628 628.0 639.0 c75
o360 205 236 244.0 261.0 c18
o362 607 644 646.0 665.0 c70
o363 463 481 485.0 500.0 c52
o365 578 613 621.0 633.0 c71
o366 640 675 678.0 685.0 c84
o367 323 360 367.0 377.0 c29
o368 256 271 280.0 294.0 c24
o369 460 481 483.0 495.0 c35
o37 595 602 612.0 628.0 c52
o370 658 733 742.0 755.0 c89
o371 549 567 569.0 580.0 c70
o372 561 583 588.0 593.0 c66
o374 525 543 543 553.0 c52
o375 219 240 241.0 250.0 c5
o376 629 636 652.0 663.0 c80
o378 415 421 429.0 441.0 c25
o379 598 634 646.0 655.0 c79
o38 378 390 390.0 407.0 c31
o381 287 293 301.0 306.0 c33
o382 580 597 603.0 609.0 c72
o384 126 152 155.0 175.0 c9
o386 564 582 589.0 596.0 c72
o387 527 540 540 552.0 c73
o388 78 101 114.0 126.0 c12
o39 681 692 708.0 714.0 c93
o390 593 611 614.0 631.0 c38
o391 234 250 251.0 262.0 c9
o392 108 123 130.0 144.0 c8
o393 660 675 676.0 684.0 c67
o394 107 128 135.0 143.0 c10
o395 177 214 220.0 233.0 c12
o396 592 614 616.0 621.0 c44
o397 596 629 636.0 645.0 c64
o398 347 370 370 380.0 c26
o399 655 667 679.0 686.0 c80
o4 563 589 589 598.0 c42
o40 714 744 758.0 775.0 c92
o401 677 689 694.0 711.0 c82
o405 163 175 177.0 185.0 c11
o406 564 570 574.0 590.0 c45
o407 389 415 416.0 423.0 c24
o408 501 527 532.0 545.0 c65
o409 329 341 346.0 359.0 c28
o410 718 730 741.0 751.0 c88
o411 403 419 419 427.0 c36
o412 495 517 522.0 538.0 c56
o413 436 448 450.0 468.0 c24
o414 537 555 555.0 563.0 c45
o415 204 221 229.0 240.0 c13
o416 122 150 150.0 159.0 c6
o417 252 270 270 287.0 c19
o418 158 189 194.0 203.0 c11
o419 262 277 283.0 299.0 c30
o42 506 528 535.0 552.0 c74
o420 765 791 794.0 810.0 c88
o421 277 279 299.0 314.0 c21
o422 483 490 496.0 514.0 c44
o423 565 582 588.0 599.0 c52
o424 177 183 198.0 207.0 c6
o425 191 204 215.0 223.0 c10
o426 603 614 620.0 629.0 c53
o427 527 540 540 549.0 c38
o428 574 589 595.0 600.0 c53
