order placement_time ready_time pickup_time dropoff_time courier
o1 615 660 666.0 676.0 c62
o10 485 495 498.0 516.0 c34
o100 33 34 61.0 74.0 c3
o101 558 579 579.0 593.0 c48
o102 249 260 260.0 279.0 c10
o103 614 629 643.0 658.0 c63
o104 625 635 651.0 662.0 c86
o106 137 142 158.0 172.0 c6
o108 589 598 602.0 616.0 c74
o109 651 674 685.0 693.0 c81
o11 549 579 580.0 587.0 c72
o110 391 395 406.0 417.0 c34
o111 611 615 624.0 638.0 c47
o113 496 516 518.0 529.0 c67
o114 500 506 527.0 541.0 c58
o115 640 650 662.0 671.0 c79
o116 93 98 107.0 114.0 c5
o117 604 634 637.0 649.0 c85
o118 266 271 281.0 295.0 c33
o119 118 138 158.0 177.0 c7
o12 491 495 511.0 521.0 c54
o120 483 503 507.0 519.0 c56
o121 634 640 649.0 662.0 c74
o122 558 564 573.0 587.0 c57
o123 478 508 517.0 526.0 c57
o125 730 750 754.0 759.0 c94
o126 644 670 671.0 687.0 c84
o127 111 124 127.0 143.0 c5
o128 63 83 83.0 94.0 c3
o13 555 572 580.0 586.0 c58
o130 180 190 197.0 208.0 c15
o131 143 173 186.0 191.0 c10
o132 640 650 669.0 681.0 c67
o133 174 194 195.0 211.0 c8
o134 610 633 639.0 646.0 c81
o135 697 717 724.0 737.0 c87
o136 442 455 457.0 469.0 c45
o137 538 568 570.0 580.0 c64
o138 118 122 129.0 141.0 c11
o139 605 635 636.0 656.0 c83
o14 610 636 643.0 655.0 c61
o140 426 442 444.0 457.0 c30
o141 510 525 525 533.0 c74
o142 315 330 330 339.0 c18
o143 681 695 699.0 709.0 c94
o144 585 593 603.0 620.0 c77
o145 386 394 399.0 406.0 c26
o146 587 599 602.0 612.0 c43
o147 599 619 619 634.0 c53
o148 664 674 676.0 690.0 c64
o149 537 572 573.0 590.0 c74
o15 681 684 710.0 716.0 c87
o150 652 666 673.0 681.0 c68
o151 212 225 225 244.0 c10
o152 246 261 267.0 284.0 c9
o153 730 734 747.0 757.0 c80
o155 706 719 724.0 738.0 c81
o156 144 168 178.0 194.0 c5
o157 610 657 659.0 669.0 c58
o158 280 288 296.0 309.0 c18
o159 587 607 613.0 626.0 c75
o16 672 700 705.0 719.0 c61
