order placement_time ready_time pickup_time dropoff_time courier
o1 743 753 761.0 771.0 c111
o10 563 593 597.0 607.0 c85
o100 540 544 551.0 566.0 c56
o101 635 655 660.0 670.0 c94
o102 515 537 542.0 557.0 c88
o103 515 543 546.0 560.0 c63
o104 496 508 512.0 525.0 c49
o105 263 274 278.0 291.0 c37
o106 665 673 681.0 699.0 c84
o107 528 544 544 553.0 c45
o108 614 643 647.0 657.0 c76
o109 606 621 623.0 637.0 c51
o11 526 541 542.0 557.0 c49
o110 108 111 123.0 138.0 c22
o111 613 643 643 652.0 c83
o112 485 515 520.0 538.0 c90
o113 258 270 270.0 278.0 c7
o114 171 201 207.0 217.0 c24
o115 529 547 548.0 563.0 c47
o116 197 217 229.0 238.0 c7
o117 479 509 510.0 521.0 c61
o118 623 649 660.0 676.0 c98
o119 187 202 209.0 225.0 c20
o12 313 338 345.0 368.0 c35
o120 572 587 596.0 616.0 c45
o121 59 78 78 88.0 c2
o122 676 691 698.0 709.0 c104
o123 591 601 611.0 625.0 c87
o124 525 545 545.0 553.0 c90
o125 245 280 283.0 292.0 c36
o126 334 356 358.0 366.0 c28
o127 651 671 678.0 693.0 c91
o128 569 599 603.0 617.0 c56
o129 436 464 468.0 480.0 c63
o13 508 518 519.0 526.0 c45
o130 585 615 615.0 622.0 c85
o131 256 266 293.0 312.0 c22
o132 792 822 826.0 834.0 c106
o133 559 568 574.0 591.0 c78
o134 533 548 555.0 569.0 c68
o135 514 534 536.0 543.0 c47
o136 264 279 294.0 312.0 c30
o137 194 211 220.0 225.0 c21
o138 665 684 687.0 695.0 c79
o139 628 638 643.0 657.0 c92
o14 455 463 465.0 479.0 c38
o140 497 506 511.0 523.0 c58
o141 550 556 566.0 576.0 c73
o142 708 723 734.0 744.0 c105
o143 208 238 239.0 245.0 c6
o144 610 620 621.0 635.0 c55
o145 630 646 651.0 665.0 c74
o146 13 28 49.0 69.0 c2
o147 554 584 593.0 606.0 c58
o148 117 127 134.0 141.0 c16
o149 225 253 255.0 272.0 c6
o15 646 666 677.0 694.0 c77
o150 660 665 681.0 695.0 c73
o151 710 720 722.0 734.0 c113
