order placement_time ready_time pickup_time dropoff_time courier
o1 743 753 758.0 767.0 c113
o10 563 593 594.0 603.0 c67
o100 540 544 551.0 564.0 c43
o101 635 655 657.0 665.0 c91
o102 515 537 537.0 549.0 c65
o103 515 543 543.0 555.0 c47
o104 496 508 508.0 519.0 c42
o105 263 274 274.0 285.0 c27
o106 665 673 678.0 693.0 c72
o107 528 544 544.0 552.0 c63
o108 614 643 644.0 653.0 c97
o109 606 621 626.0 638.0 c44
o11 526 541 542.0 554.0 c42
o110 108 111 121.0 133.0 c23
o111 613 643 643 651.0 c103
o112 485 515 518.0 532.0 c90
o113 258 270 270 277.0 c6
o114 171 201 205.0 214.0 c3
o115 529 547 547 559.0 c71
o116 197 217 222.0 230.0 c6
o117 479 509 509 518.0 c39
o118 623 649 650.0 663.0 c90
o119 187 202 206.0 219.0 c5
o12 313 338 341.0 359.0 c29
o120 572 587 591.0 607.0 c84
o121 59 78 89.0 98.0 c1
o122 676 691 694.0 703.0 c97
o123 591 601 606.0 618.0 c52
o124 525 545 545.0 552.0 c44
o125 245 280 281.0 289.0 c36
o126 334 356 361.0 368.0 c30
o127 651 671 673.0 685.0 c85
o128 569 599 600.0 611.0 c47
o129 436 464 464 474.0 c61
o13 508 518 518.0 524.0 c63
o130 585 615 615 621.0 c67
o131 256 266 270.0 285.0 c17
o132 792 822 822 829.0 c110
o133 559 568 569.0 583.0 c42
o134 533 548 548.0 560.0 c68
o135 514 534 535.0 541.0 c71
o136 264 279 279.0 293.0 c28
o137 194 211 214.0 219.0 c23
o138 665 684 687.0 694.0 c92
o139 628 638 639.0 650.0 c85
o14 455 463 465.0 477.0 c38
o140 497 506 509.0 519.0 c58
o141 550 556 565.0 573.0 c53
o142 708 723 727.0 736.0 c93
o143 208 238 238.0 244.0 c18
o144 610 620 621.0 633.0 c53
o145 630 646 655.0 666.0 c100
o146 13 28 43.0 59.0 c2
o147 554 584 588.0 599.0 c62
o148 117 127 131.0 138.0 c18
o149 225 253 254.0 268.0 c18
o15 646 666 670.0 684.0 c90
o150 660 665 677.0 688.0 c83
o151 710 720 725.0 735.0 c108
o152 177 197 201.0 213.0 c9
o153 117 172 172.0 180.0 c22
o154 566 575 579.0 588.0 c70
o155 579 601 606.0 620.0 c71
o156 259 274 280.0 287.0 c37
o157 496 518 522.0 534.0 c59
o158 532 558 558 563.0 c75
o159 36 56 77.0 87.0 c2
o16 265 268 293.0 299.0 c26
o160 184 191 192.0 197.0 c7
o161 703 713 713.0 719.0 c98
o162 605 607 618.0 624.0 c73
o163 72 95 99.0 111.0 c24
o164 118 133 133.0 142.0 c6
o165 532 551 555.0 561.0 c41
o166 641 654 657.0 664.0 c74
o167 550 571 571.0 580.0 c75
o168 228 238 242.0 253.0 c19
o169 349 351 356.0 361.0 c35
o17 647 677 681.0 689.0 c76
o170 383 386 396.0 406.0 c37
o171 225 234 240.0 255.0 c16
o172 543 564 567.0 581.0 c84
o173 138 168 171.0 180.0 c7
o174 98 108 108 117.0 c17
o175 462 463 472.0 483.0 c56
o176 538 550 550.0 558.0 c85
o177 264 284 295.0 304.0 c35
o178 696 704 709.0 715.0 c97
o179 558 576 576.0 585.0 c74
o18 571 581 582.0 593.0 c51
o180 430 444 444 458.0 c29
o181 720 745 745 759.0 c94
o182 561 586 591.0 596.0 c52
o183 703 723 723.0 732.0 c110
o184 98 105 109.0 120.0 c16
o185 778 788 788.0 794.0 c112
o186 697 708 711.0 719.0 c109
o187 176 191 192.0 201.0 c23
o188 666 686 686.0 696.0 c88
o189 643 658 661.0 667.0 c93
o19 581 611 611.0 624.0 c43
o190 627 657 657 667.0 c85
o191 216 228 232.0 246.0 c21
o192 733 743 744.0 756.0 c110
o193 240 250 254.0 265.0 c21
o194 177 192 193.0 200.0 c21
o195 560 563 574.0 581.0 c52
o196 732 752 759.0 766.0 c107
o197 549 573 573 586.0 c68
